interval_width_sum,within_interval,LSTM PINAW,LSTM PICP,CWC,Stock,Study Period
437.4212808609009,139,0.6234292893907668,0.9025974025974026,0.3764945022897532,BA,1
383.0122230052948,129,0.35245874160089724,0.8376623376623377,0.5762853784543942,CHRW,1
467.710888504982,138,0.5197780895690948,0.8961038961038961,0.4800032725535858,DOV,1
374.47409051656723,126,0.3494602234975172,0.8181818181818182,0.5321769236915684,EFX,1
463.3146948814392,140,0.47711010717204894,0.9090909090909091,0.5215950774124228,EMR,1
431.779467523098,141,0.48254307511566163,0.9155844155844156,0.5137003220849697,FAST,1
415.9573556780815,133,0.4355749562064458,0.8636363636363636,0.5424729215233087,ITW,1
440.50860249996185,142,0.5574643830616166,0.922077922077922,0.43611148585561776,NOC,1
416.83215832710266,143,0.522190964312188,0.9285714285714286,0.46624971039433216,UPS,1
487.2471563220024,143,0.47212011704274426,0.9285714285714286,0.5151092260059841,WM,1
464.5486401319504,131,0.3961039199575594,0.8562091503267973,0.5701348859034107,BA,2
407.0466742515564,126,0.31537074013706784,0.8235294117647058,0.574468312619269,CHRW,2
529.2434562444687,132,0.6091537682993158,0.8627450980392157,0.3749063950919587,DOV,2
456.3901160955429,140,0.23900701301650704,0.9150326797385621,0.7558513262860461,EFX,2
511.3809549883008,129,0.5470129875066654,0.8431372549019608,0.41111060971239977,EMR,2
472.80566558241844,135,0.3899137665899464,0.8823529411764706,0.60441300832077,FAST,2
467.8612287044525,133,0.43173623000981004,0.869281045751634,0.5524020155319591,ITW,2
446.1325170993805,135,0.31348180206551485,0.8823529411764706,0.6801342278471715,NOC,2
440.1079597771168,132,0.1886931657069232,0.8627450980392157,0.7782194016167971,UPS,2
482.99488604068756,133,0.28512574060869456,0.869281045751634,0.694920215917497,WM,2
434.4900661110878,116,0.3293425927928839,0.7532467532467533,0.3514835719332178,BA,3
401.37476389855146,118,0.4302143154930992,0.7662337662337663,0.333105127765204,CHRW,3
473.7629596590996,138,0.5137535860100572,0.8961038961038961,0.48602503324595814,DOV,3
384.98161355033517,126,0.18895716836030838,0.8181818181818182,0.6634771534565228,EFX,3
413.9001556634903,123,0.3722323763943142,0.7987012987012987,0.46142857058902814,EMR,3
441.44178462028503,135,0.2636506256548777,0.8766233766233766,0.7243760791692551,FAST,3
455.7974150776863,116,0.324046280774965,0.7532467532467533,0.35425930608022926,ITW,3
468.90932273864746,122,0.33174644801727765,0.7922077922077922,0.4715819380047044,NOC,3
365.0001186579466,120,0.18711250851518796,0.7792207792207793,0.5247721182861715,UPS,3
394.36806271225214,124,0.18694419063669246,0.8051948051948052,0.6208931491282305,WM,3
435.652206659317,141,0.620907938188552,0.9155844155844156,0.37633995196010595,BA,1
379.8816705942154,129,0.34957791823012596,0.8376623376623377,0.5788491940645217,CHRW,1
479.54929453134537,138,0.5329343880841781,0.8961038961038961,0.4668529639051,DOV,1
378.41065376996994,126,0.3531338348612528,0.8181818181818182,0.5291717097676759,EFX,1
431.60041493177414,134,0.4444515196659024,0.8701298701298701,0.5408755085858108,EMR,1
424.3393161892891,138,0.47422819732738425,0.8961038961038961,0.5255324266083549,FAST,1
411.06591260433197,131,0.4304528203106602,0.8506493506493507,0.5294173307104019,ITW,1
435.3487632870674,142,0.5509345977925229,0.922077922077922,0.442546480570222,NOC,1
416.2711992263794,141,0.521488216772454,0.9155844155844156,0.4750379120356486,UPS,1
488.62587147951126,144,0.4734560287111574,0.935064935064935,0.5074754595456127,WM,1
457.00921761989594,132,0.3896753255042578,0.8627450980392157,0.5854338739693963,BA,2
405.27573478221893,124,0.31399865549294237,0.8104575163398693,0.5393387737755971,CHRW,2
514.3130369782448,131,0.5919690094685748,0.8562091503267973,0.3852197586964644,DOV,2
441.8669678866863,136,0.2314013832042519,0.8888888888888888,0.7657572203453905,EFX,2
500.87709449231625,130,0.5357772383959203,0.8496732026143791,0.4302562367511152,EMR,2
470.59024861454964,138,0.3880867546960747,0.9019607843137255,0.6118426711450389,FAST,2
469.5299993157387,130,0.4332761497301572,0.8496732026143791,0.5252574652988798,ITW,2
438.5718912780285,131,0.3081692132799444,0.8562091503267973,0.6531535469204991,NOC,2
439.0738235786557,133,0.1882497871478111,0.869281045751634,0.7890921036471972,UPS,2
496.1706179380417,136,0.2929037532209818,0.8888888888888888,0.7044822155776155,WM,2
394.6777410507202,117,0.29916493078589523,0.7597402597402597,0.38842058633120413,BA,3
417.039297118783,120,0.4470043756638083,0.7792207792207793,0.35699489563533193,CHRW,3
474.5699411928654,140,0.514628685357449,0.9090909090909091,0.48416940527487246,DOV,3
389.0552951321006,127,0.19095661796880584,0.8246753246753247,0.6824152465737614,EFX,3
415.04233399033546,124,0.3732595703855465,0.8051948051948052,0.4786127035166592,EMR,3
465.7840412259102,135,0.27818901193257245,0.8766233766233766,0.7100740920742694,FAST,3
459.8874341249466,116,0.3269540538704696,0.7532467532467533,0.3527353767789256,ITW,3
431.36143887043,117,0.305181872523032,0.7597402597402597,0.38508584447806016,NOC,3
377.4259524047375,118,0.19348244869850492,0.7662337662337663,0.47150207398359134,UPS,3
