ticker,interval_width_sum,within_interval,CWC,PINAW,PICP
BA,10.14407741463548,161,0.32514428880122304,0.6466461659449564,0.9526627218934911
CHRW,9.913651515987176,152,0.5352596838639766,0.4647346938276832,0.8994082840236687
DOV,12.081175297449297,161,0.4092917923695714,0.5551980180421828,0.9526627218934911
EFX,9.811781221835844,154,0.5013553453308981,0.4967399644378939,0.9112426035502958
EMR,11.093261312924296,162,0.439908709861477,0.5123902936212829,0.9585798816568047
FAST,10.483637727581819,153,0.48359734136979826,0.5159910338296896,0.9053254437869822
ITW,10.788626011229448,156,0.46339692781951086,0.5291402336552816,0.9230769230769231
NOC,8.242079728795986,161,0.39006656293474695,0.5760912299648938,0.9526627218934911
UPS,7.3603663013453815,160,0.4424360229494576,0.5275885601603713,0.9467455621301775
WM,8.639867707319217,159,0.45779996296823217,0.5187239183245692,0.9408284023668639
BA,7.068042287373053,154,0.5720675489054309,0.42575911938056865,0.9112426035502958
CHRW,8.429193756894389,168,0.4419107034763191,0.4236844974940733,0.9940828402366864
DOV,7.772974490047375,152,0.41263950235483876,0.5873561633256047,0.8994082840236687
EFX,5.243697150001939,149,0.771670293644433,0.2205008777883635,0.8816568047337278
EMR,6.5728971650396675,148,0.44800074698792314,0.5440186796264701,0.8757396449704142
FAST,7.717674744718255,156,0.6164911993068922,0.3735804347579093,0.9230769230769231
ITW,5.804709188483242,145,0.514860752312256,0.4571427972812857,0.8579881656804734
NOC,6.174197209519264,148,0.6366423436566684,0.35201666868182296,0.8757396449704142
UPS,5.1690945765111165,149,0.7877637908714269,0.20424410716355368,0.8816568047337278
WM,4.900304210806541,152,0.7129853569402431,0.2870071539406627,0.8994082840236687
BA,9.007162521685434,152,0.5996257235447832,0.4003679780531363,0.8994082840236687
CHRW,7.19604466124701,152,0.6606106637086141,0.3393823973102592,0.8994082840236687
DOV,7.863562750641106,161,0.4370809078959298,0.5249979165658799,0.9526627218934911
EFX,8.237414523941824,166,0.6260027146312473,0.23314381361562656,0.9822485207100592
EMR,7.822502058277212,152,0.5385989963551282,0.4613953462607636,0.8994082840236687
FAST,8.799350994005808,153,0.696508713548285,0.3028984373275714,0.9053254437869822
ITW,7.749349487187328,152,0.587581103164295,0.41241272494898074,0.8994082840236687
NOC,8.579770014156821,149,0.5515972440706816,0.442806635024396,0.8816568047337278
UPS,7.04834864560015,154,0.7164244325420398,0.2808538120587814,0.9112426035502958
WM,5.226123005185123,155,0.7496542678592926,0.24369415717576884,0.9171597633136095
